"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 23:20:25 GMT 2023","Wed Dec 13 23:20:27 GMT 2023","2438","","Logout","","Validar o logout na aplicação","","Validar o logout na aplicação","  Com essa funcionalidade iremos realizar o logout de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso clicar no campo ""Sair""
  Para o logout ser efetuado com sucesso"
"passed","Wed Dec 13 23:20:15 GMT 2023","Wed Dec 13 23:20:25 GMT 2023","9656","","Login","","Validar o login na aplicação","","Validar o login na aplicação","  Com essa funcionalidade iremos realizar o login de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso inserir dados cadastrais
  Para o login ser efetuado com sucesso"
