"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 21:50:12 GMT 2024","Tue May 07 21:50:14 GMT 2024","2224","","Logout","","Validar o logout na aplicação","","Validar o logout na aplicação","  Com essa funcionalidade iremos realizar o logout de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso clicar no campo ""Sair""
  Para o logout ser efetuado com sucesso"
"passed","Tue May 07 21:50:03 GMT 2024","Tue May 07 21:50:12 GMT 2024","8665","","Login","","Validar o login na aplicação","","Validar o login na aplicação","  Com essa funcionalidade iremos realizar o login de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso inserir dados cadastrais
  Para o login ser efetuado com sucesso"
